Year,Category,Nominee,Female,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Winner,Oscarstat_totalnoms,Nom_Oscar_bestfilm,Win_BAFTA,Nom_BAFTA,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_supportingacting,Nom_GoldenGlobe_supportingacting,Win_Criticschoice,Nom_Criticschoice,Win_SAG_acting,Nom_SAG_acting,Win_SAG_bestcast,Nom_SAG_bestcast,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75],Age_[75+],Rating_IMDB,Rating_rtaudience,Rating_rtcritic,Genre_action,Genre_adventure,Genre_comedy,Genre_crime,Genre_biography,Genre_drama,Genre_fantasy,Genre_sci-fi,Genre_music,Genre_mystery,Genre_romance,Genre_history,Genre_thriller,Genre_sport,Genre_family,Genre_war,Genre_filmnoir,Genre_western
1961,Actor,Burt Lancaster,0,0,0,1,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.9,86,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,Actor,Trevor Howard,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.3,54,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,Actor,Jack Lemmon,0,0,0,0,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.3,94,93,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1961,Actor,Laurence Olivier,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.2,73,89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,Actor,Spencer Tracy,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.484478145,91,91,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1961,Actress,Shirley MacLaine,1,0,0,0,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.3,94,93,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1961,Actress,Elizabeth Taylor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.4,58,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,Actress,Greer Garson,1,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.1,56,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,Actress,Deborah Kerr,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.2,62,78,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,Actress,Melina Mercouri,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.4,83,88,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1961,Supporting Actor,Jack Kruschen,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.3,94,93,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1961,Supporting Actor,Peter Ustinov,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.9,87,96,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,Supporting Actor,Sal Mineo,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6.8,70,64,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1961,Supporting Actor,Chill Wills,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9,64,50,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1961,Supporting Actor,Peter Falk,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.6,50,85.07044831,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,Supporting Actress,Shirley Jones,1,0,0,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,86,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,Supporting Actress,Mary Ure,1,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,54,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
